USER,SUB,SUB_PERIOD,SUB_START_TS,SUB_END_TS,PRICE,PRICE_USD,CURRENCY,COUNTRY_CODE
51,bronze,year,2019-12-10T06:49:08-05:00,12/10/20,69.95,52.37421911,CAD,CA
4,bronze,month,2020-11-02T03:42:45-05:00,12/2/20,12,12,USD,US
52,silver,year,2021-01-04T09:35:21-05:00,1/4/22,199,199,USD,US
86,silver,year,2021-03-30T08:34:46-04:00,3/30/22,199,199,USD,US
10,bronze,month,2020-11-18T04:32:55-05:00,12/18/20,12,12,USD,US
39,silver,month,2021-09-15T18:23:11-04:00,10/15/21,24.99,24.99,USD,US
13,bronze,month,2021-10-09T19:20:05-04:00,11/9/21,28.9,5.14873489,BRL,BR
30,bronze,month,2020-12-26T03:36:47-05:00,1/26/21,10,11.91457699,EUR,DE
10,bronze,month,2019-12-25T06:21:09-05:00,1/25/20,7.5,8.180845366,EUR,DE
64,silver,year,2019-08-14T06:23:54-04:00,8/14/20,288,214.2853057,CAD,CA
14,bronze,month,2021-06-01T08:29:05-04:00,7/1/21,12,12,USD,BR
41,bronze,month,2019-05-16T02:28:58-04:00,6/16/19,10,12.62210661,GBP,GB
28,platinum,year,2022-05-07T22:09:20-04:00,5/8/23,840,870.9935207,EUR,NL
40,bronze,year,2020-11-12T15:01:53-05:00,11/12/21,69,80.17072322,EUR,PT
76,bronze,year,2019-02-08T09:02:51-05:00,2/8/20,49.95,64.16600247,GBP,GB
70,bronze,month,2020-12-01T10:59:16-05:00,1/1/21,9.95,9.95,USD,US
12,silver,year,2021-12-15T05:08:12-05:00,12/15/22,189,209.7517135,EUR,NL
81,bronze,month,2020-02-01T06:48:28-05:00,3/1/20,7.95,10.13085476,GBP,GB
40,bronze,month,2019-04-29T06:34:02-04:00,5/29/19,12,12,USD,IN
45,bronze,month,2021-09-05T10:53:45-04:00,10/5/21,9.49,7.37120053,CAD,CA
49,bronze,year,2021-06-25T23:31:19-04:00,6/26/22,84,84,USD,US
67,bronze,year,2022-07-24T23:15:55-04:00,7/25/23,84,84,USD,US
51,silver,year,2019-01-17T10:43:33-05:00,1/17/20,199,199,USD,US
48,bronze,month,2019-05-19T23:14:46-04:00,6/19/19,12,12,USD,US
54,bronze,year,2021-09-10T22:51:10-04:00,9/11/22,8400,75.28540824,JPY,JP
50,silver,year,2022-09-28T22:28:40-04:00,9/29/23,240,240,USD,US
9,silver,year,2021-09-29T20:24:28-04:00,9/30/22,240,240,USD,US
32,silver,year,2019-06-10T11:16:01-04:00,6/10/20,599,599,USD,US
17,bronze,year,2019-12-08T03:41:45-05:00,12/8/20,69,88.55269643,GBP,GB
22,bronze,year,2022-10-30T00:02:29-04:00,10/30/23,84,84,USD,US
34,bronze,month,2019-07-24T04:16:37-04:00,8/24/19,12,12,USD,US
71,silver,year,2021-06-14T06:36:26-04:00,6/3/22,189,260.8895031,GBP,GB
8,silver,year,2022-01-19T19:27:55-05:00,1/20/23,159,213.0540779,GBP,GB
26,silver,year,2020-09-08T08:44:27-04:00,9/8/21,240,240,USD,US
69,platinum,year,2022-02-11T05:06:51-05:00,2/11/23,,,USD,IT
50,bronze,month,2021-07-16T23:06:15-04:00,8/17/21,10,11.61982651,EUR,FR
20,bronze,month,2023-04-11T21:12:38-04:00,5/12/23,22,15.81313021,CAD,CA
3,silver,year,2021-03-26T05:02:45-04:00,3/26/22,240,240,USD,US
81,silver,year,2020-11-22T01:20:14-05:00,12/15/21,2340,112.8799374,MXN,MX
88,bronze,year,2022-12-10T11:27:12-05:00,12/10/23,101,73.1912087,CAD,CA
17,bronze,year,2020-12-12T09:10:23-05:00,12/12/21,52.95,58.36159054,CHF,CH
64,bronze,month,2023-02-25T20:52:09-05:00,3/26/23,12,12,USD,US
16,bronze,month,2019-04-21T03:32:29-04:00,5/21/19,10,12.79153978,GBP,GB
51,bronze,month,2022-11-18T00:15:32-05:00,12/18/22,9.95,9.95,USD,US
86,bronze,year,2023-03-21T22:50:35-04:00,3/22/24,59.95,59.95,USD,US
15,bronze,month,2019-05-17T08:32:06-04:00,6/17/19,12,8.199233345,AUD,AU
91,bronze,month,2022-12-28T02:18:53-05:00,1/28/23,11.38,11.38,USD,SA
27,bronze,year,2021-02-23T09:35:14-05:00,2/23/22,49.95,59.61011188,EUR,DE
88,bronze,year,2021-03-31T05:48:55-04:00,3/31/22,49.95,58.90740072,EUR,NL
66,bronze,year,2020-12-22T05:18:25-05:00,12/22/21,714,83.53066144,SEK,SE
19,bronze,month,2020-02-03T07:57:54-05:00,3/3/20,9.95,9.95,USD,US
21,bronze,month,2023-03-12T23:04:31-04:00,4/13/23,10,11.90456129,GBP,GB
64,bronze,year,2022-02-21T20:32:45-05:00,2/22/23,69,76.48788683,EUR,DE
6,silver,year,2022-01-13T21:35:18-05:00,1/14/23,189,211.688861,EUR,NL
45,bronze,month,2020-08-03T11:44:50-04:00,9/3/20,11.7,11.7,USD,US
33,bronze,year,2021-08-21T20:23:44-04:00,8/22/22,69,93.78528524,GBP,GB
73,bronze,year,2021-10-19T20:56:59-04:00,10/20/22,69,92.95231517,GBP,GB
3,bronze,month,2023-01-28T11:52:11-05:00,2/28/23,6.99,6.99,USD,US
51,silver,year,2021-09-02T19:46:24-04:00,3/17/23,240,240,USD,NZ
6,bronze,year,2021-03-23T05:07:17-04:00,3/23/22,69,81.37358658,EUR,FR
29,bronze,month,2019-08-16T11:15:39-04:00,9/16/19,9.95,9.95,USD,US
57,bronze,month,2023-03-05T00:07:43-05:00,4/5/23,9.95,9.95,USD,US
53,bronze,year,2020-02-16T06:06:48-05:00,2/16/21,49.95,53.81185168,EUR,IE
5,silver,year,2019-03-28T12:16:27-04:00,3/7/20,240,240,USD,IS
20,bronze,month,2021-12-04T20:38:15-05:00,1/5/22,10,11.09797426,EUR,DE
9,bronze,year,2021-06-26T21:40:45-04:00,6/27/22,69,82.22756152,EUR,AU
46,silver,year,2019-11-05T11:08:37-05:00,11/5/20,399,399,USD,US
6,bronze,year,2020-09-29T17:53:19-04:00,9/29/21,101,74.95095182,CAD,CA
